bus_id,route_no,direction,stop_name,timepoint,arrival_time,departure_time,boarded,alighted,occupancy_after,dwell_time_s,headway_s,is_peak
144A_1031,144,inbound,Fort,1,2025-10-31 12:54:09,2025-10-31 12:54:43,6,5,41,34,427,0
171H_1031,171,outbound,Technical Junction,0,2025-10-31 10:42:38,2025-10-31 10:43:22,12,2,21,44,464,0
171E_1031,171,outbound,Fort,1,2025-10-31 08:08:00,2025-10-31 08:08:48,14,0,14,48,389,1
171D_1031,171,inbound,Cotta Road,0,2025-10-31 16:21:55,2025-10-31 16:22:53,10,10,45,58,592,1
171D_1031,171,inbound,Welikada,0,2025-10-31 16:13:23,2025-10-31 16:14:12,16,2,41,49,592,1
144C_1031,144,outbound,Maradana,0,2025-10-31 18:07:28,2025-10-31 18:07:55,5,3,28,27,351,1
103F_1031,103,outbound,Fort,1,2025-10-31 18:02:00,2025-10-31 18:02:42,11,1,11,42,629,1
103A_1031,103,inbound,Punchi Borella,0,2025-10-31 12:39:06,2025-10-31 12:39:33,0,5,21,27,441,0
144A_1031,144,inbound,Rajagiriya,1,2025-10-31 12:32:00,2025-10-31 12:32:39,7,3,22,39,427,0
144A_1031,144,outbound,Punchi Borella,0,2025-10-31 08:04:04,2025-10-31 08:05:07,11,7,49,63,426,1
144E_1031,144,inbound,Borella,0,2025-10-31 18:07:28,2025-10-31 18:07:58,6,2,36,30,305,1
103D_1031,103,inbound,Punchi Borella,0,2025-10-31 18:11:57,2025-10-31 18:12:43,13,3,57,46,463,1
103D_1031,103,inbound,Narahenpita,1,2025-10-31 18:51:00,2025-10-31 18:52:02,17,3,17,62,437,1
144D_1031,144,inbound,Fort,1,2025-10-31 07:50:34,2025-10-31 07:51:23,10,7,58,49,326,1
171H_1031,171,outbound,Maradana,0,2025-10-31 10:47:57,2025-10-31 10:48:53,12,7,26,56,464,0
171B_1031,171,outbound,Fort,1,2025-10-31 18:10:00,2025-10-31 18:10:55,17,2,22,55,375,1
103G_1031,103,outbound,Maradana,0,2025-10-31 17:04:55,2025-10-31 17:05:53,15,3,43,58,380,1
144A_1031,144,inbound,Cotta Road,0,2025-10-31 12:36:35,2025-10-31 12:37:24,11,3,30,49,427,0
103A_1031,103,outbound,Punchi Borella,1,2025-10-31 07:47:09,2025-10-31 07:48:07,10,7,52,58,357,1
103B_1031,103,inbound,Pettah,0,2025-10-31 08:39:36,2025-10-31 08:40:23,9,6,44,47,446,1
103H_1031,103,inbound,Pettah,0,2025-10-31 17:05:00,2025-10-31 17:05:39,5,6,37,39,548,1
103B_1031,103,outbound,Narahenpita,1,2025-10-31 08:09:53,2025-10-31 08:10:54,10,6,79,61,436,1
103H_1031,103,inbound,Borella,0,2025-10-31 16:50:52,2025-10-31 16:51:38,9,3,27,46,548,1
103B_1031,103,inbound,Narahenpita,1,2025-10-31 08:19:00,2025-10-31 08:20:10,18,3,18,70,446,1
103B_1031,103,inbound,Maradana,1,2025-10-31 08:33:22,2025-10-31 08:34:25,14,5,41,63,446,1
144D_1031,144,inbound,Punchi Borella,1,2025-10-31 18:51:49,2025-10-31 18:52:31,12,2,53,42,615,1
144E_1031,144,inbound,Rajagiriya,1,2025-10-31 18:00:00,2025-10-31 18:01:12,18,2,25,72,305,1
144D_1031,144,inbound,Cotta Road,0,2025-10-31 18:41:05,2025-10-31 18:42:01,15,3,36,56,615,1
171E_1031,171,outbound,Technical Junction,0,2025-10-31 12:40:50,2025-10-31 12:41:41,11,4,31,51,642,0
144C_1031,144,outbound,Fort,1,2025-10-31 18:02:00,2025-10-31 18:03:02,16,3,26,62,351,1
171F_1031,171,inbound,Koswatta,1,2025-10-31 08:47:00,2025-10-31 08:47:31,7,4,15,31,419,1
103D_1031,103,inbound,Fort,1,2025-10-31 18:25:19,2025-10-31 18:26:16,10,7,65,57,463,1
103F_1031,103,outbound,Pettah,0,2025-10-31 18:06:15,2025-10-31 18:06:56,9,4,16,41,629,1
103D_1031,103,inbound,Borella,0,2025-10-31 18:06:27,2025-10-31 18:07:21,12,2,47,54,463,1
103G_1031,103,outbound,Punchi Borella,1,2025-10-31 11:15:23,2025-10-31 11:15:57,4,2,38,34,455,0
